TimePeriod,GeoType,GeoID,GeoRank,Geography,Asian alone (percent),Black alone (percent),Hispanic alone (percent),Non-white (percent),Total population,White alone (percent)
2017-21,NTA2020,810202,9,Sunnyside,27.2,1.9,34.5,67.5,"49,937",32.5
2017-21,NTA2020,810203,9,Woodside,41.5,0.7,37.8,81.6,"48,799",18.4
2017-21,NTA2020,810301,9,Jackson Heights,24.5,2.7,52.1,82.4,"93,703",17.6
2017-21,NTA2020,810302,9,East Elmhurst,15.4,19.6,55.9,93.4,"25,017",6.6
2017-21,NTA2020,810303,9,North Corona,7.3,5.2,84.8,97.9,"42,928",2.1
2017-21,NTA2020,810401,9,Elmhurst,48.7,1.3,42.2,94.5,"104,009",5.5
2017-21,NTA2020,810402,9,Corona,14.2,7.8,70.1,93.5,"73,657",6.5
2017-21,NTA2020,810501,9,Maspeth,12.3,0.8,34.4,49.9,"43,999",50.1
2017-21,NTA2020,810502,9,Ridgewood,8.1,2.3,47.2,60.0,"73,527",40.0
2017-21,NTA2020,810503,9,Glendale,4.2,1.3,44.4,51.3,"36,257",48.7
2017-21,NTA2020,810504,9,Middle Village,12.0,0.6,20.7,36.4,"37,098",63.6
2017-21,NTA2020,810601,9,Rego Park,37.3,3.3,18.9,62.8,"30,274",37.2
2017-21,NTA2020,810602,9,Forest Hills,27.6,3.2,15.2,51.5,"92,512",48.5
2017-21,NTA2020,810701,9,College Point,30.5,1.9,40.7,74.1,"31,377",25.9
2017-21,NTA2020,810702,9,Whitestone-Beechhurst,23.1,0.3,14.2,39.5,"31,085",60.5
2017-21,NTA2020,810703,9,Bay Terrace-Clearview,26.5,1.1,14.0,44.5,"23,745",55.5
2017-21,NTA2020,810704,9,Murray Hill-Broadway Flushing,59.5,1.4,15.6,78.2,"56,025",21.8
2017-21,NTA2020,810705,9,East Flushing,64.6,2.3,16.7,86.3,"30,768",13.7
2017-21,NTA2020,810706,9,Queensboro Hill,66.6,1.2,16.6,87.1,"20,744",12.9
2017-21,NTA2020,810707,9,Flushing-Willets Point,74.5,2.8,12.4,91.8,"59,360",8.2
2017-21,NTA2020,810801,9,Kew Gardens Hills,23.5,7.7,15.3,49.9,"35,489",50.1
2017-21,NTA2020,810802,9,Pomonok-Electchester-Hillcrest,27.3,12.2,28.5,72.1,"36,510",27.9
2017-21,NTA2020,810803,9,Fresh Meadows-Utopia,50.6,7.1,10.1,70.8,"22,124",29.2
2017-21,NTA2020,810804,9,Jamaica Estates-Holliswood,28.8,25.6,14.2,73.9,"25,084",26.1
2017-21,NTA2020,810805,9,Jamaica Hills-Briarwood,36.0,14.5,22.2,80.9,"41,024",19.1
2017-21,NTA2020,810901,9,Kew Gardens,18.4,6.5,24.7,54.3,"24,167",45.7
2017-21,NTA2020,810902,9,Richmond Hill,25.8,7.9,41.5,84.9,"35,842",15.1
2017-21,NTA2020,810903,9,South Richmond Hill,40.2,12.4,22.7,96.8,"23,436",3.2
2017-21,NTA2020,810904,9,Ozone Park (North),33.1,3.8,44.8,86.4,"26,450",13.6
2017-21,NTA2020,810905,9,Woodhaven,17.8,4.3,59.7,86.0,"41,984",14.0
2017-21,NTA2020,811001,9,South Ozone Park,33.0,19.1,22.1,95.3,"86,560",4.7
2017-21,NTA2020,811002,9,Ozone Park,27.4,6.0,39.0,81.0,"25,905",19.0
2017-21,NTA2020,811003,9,Howard Beach-Lindenwood,5.1,3.6,24.9,35.6,"30,915",64.4
2017-21,NTA2020,811101,9,Auburndale,45.6,1.3,16.2,65.8,"35,803",34.2
2017-21,NTA2020,811102,9,Bayside,46.4,3.3,12.1,64.1,"36,255",35.9
2017-21,NTA2020,811103,9,Douglaston-Little Neck,44.1,2.0,9.9,58.3,"26,547",41.7
2017-21,NTA2020,811104,9,Oakland Gardens-Hollis Hills,39.4,2.9,17.3,62.9,"27,411",37.1
2017-21,NTA2020,811201,9,Jamaica,35.3,15.6,35.4,95.6,"59,260",4.4
2017-21,NTA2020,811202,9,South Jamaica,15.6,57.1,13.4,97.7,"45,556",2.3
2017-21,NTA2020,811203,9,Baisley Park,7.4,66.2,13.5,98.7,"44,511",1.3
2017-21,NTA2020,811204,9,Springfield Gardens (North)-Rochdale Village,1.4,84.3,8.8,98.3,"31,849",1.7
2017-21,NTA2020,811205,9,St. Albans,2.4,82.5,6.8,98.4,"55,619",1.6
2017-21,NTA2020,811206,9,Hollis,22.5,52.1,12.9,97.7,"23,229",2.3
2017-21,NTA2020,811301,9,Glen Oaks-Floral Park-New Hyde Park,48.0,4.8,9.0,67.0,"25,349",33.0
2017-21,NTA2020,811302,9,Bellerose,43.8,10.4,21.0,80.0,"28,325",20.0
2017-21,NTA2020,811303,9,Queens Village,20.1,40.5,21.4,95.2,"59,042",4.8
2017-21,NTA2020,811304,9,Cambria Heights,0.6,87.7,5.8,97.2,"21,653",2.8
2017-21,NTA2020,811305,9,Laurelton,1.4,88.1,6.6,98.9,"28,918",1.1
2017-21,NTA2020,811306,9,Springfield Gardens (South)-Brookville,1.9,82.1,9.3,97.0,"23,707",3.0
2017-21,NTA2020,811307,9,Rosedale,4.4,76.4,9.8,94.0,"27,169",6.0
2017-21,NTA2020,811401,9,Far Rockaway-Bayswater,4.5,40.4,24.3,73.1,"65,068",26.9
2017-21,NTA2020,811402,9,Rockaway Beach-Arverne-Edgemere,3.7,44.3,28.6,81.5,"44,546",18.5
2017-21,NTA2020,811403,9,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2.9,2.7,11.8,18.5,"26,170",81.5
2017-21,NTA2020,850101,9,St. George-New Brighton,6.4,25.6,36.0,71.1,"18,063",28.9
2017-21,NTA2020,850102,9,Tompkinsville-Stapleton-Clifton-Fox Hills,6.1,37.9,30.9,77.7,"16,355",22.3
2017-21,NTA2020,850103,9,Rosebank-Shore Acres-Park Hill,19.7,19.5,24.1,65.2,"24,024",34.8
2017-21,NTA2020,850104,9,West New Brighton-Silver Lake-Grymes Hill,5.7,17.1,20.8,47.3,"35,577",52.7
2017-21,NTA2020,850105,9,Westerleigh-Castleton Corners,11.5,3.0,16.9,33.5,"31,941",66.5
2017-21,NTA2020,850106,9,Port Richmond,5.7,29.4,41.8,79.6,"19,701",20.4
2017-21,NTA2020,850107,9,Mariner's Harbor-Arlington-Graniteville,11.1,27.0,37.6,80.0,"33,869",20.0
2017-21,NTA2020,850201,9,Grasmere-Arrochar-South Beach-Dongan Hills,17.1,6.4,14.0,40.0,"37,485",60.0
2017-21,NTA2020,850202,9,New Dorp-Midland Beach,14.2,4.2,17.2,38.4,"28,775",61.6
2017-21,NTA2020,850203,9,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,17.2,3.0,9.2,32.4,"32,814",67.6
2017-21,NTA2020,850204,9,New Springville-Willowbrook-Bulls Head-Travis,19.1,3.0,16.4,40.3,"43,695",59.7
2017-21,NTA2020,850301,9,Oakwood-Richmondtown,8.0,0.9,13.3,26.2,"21,333",73.8
2017-21,NTA2020,850302,9,Great Kills-Eltingville,4.5,1.0,12.3,19.5,"55,978",80.5
2017-21,NTA2020,850303,9,Arden Heights-Rossville,6.2,0.5,14.7,23.9,"31,650",76.1
2017-21,NTA2020,850304,9,Annadale-Huguenot-Prince's Bay-Woodrow,5.4,0.9,6.6,14.2,"44,207",85.8
2017-21,NTA2020,850305,9,Tottenville-Charleston,3.0,0.2,11.3,14.7,"16,919",85.3
2017-21,CDTA2020,501,7,Melrose-Mott Haven-Port Morris (CD 1),0.5,26.0,69.8,97.5,"97,502",2.5
2017-21,CDTA2020,502,7,Longwood-Hunts Point (CD 2),0.4,23.5,72.7,97.9,"54,904",2.1
2017-21,CDTA2020,503,7,Morrisania-Crotona Park East (CD 3),0.5,40.6,55.4,98.9,"89,471",1.1
2017-21,CDTA2020,504,7,Highbridge-Concourse (CD 4),1.2,29.9,63.9,97.1,"154,943",2.9
2017-21,CDTA2020,505,7,Morris Heights-Mount Hope (CD 5),1.6,25.5,68.9,98.4,"138,214",1.6
2017-21,CDTA2020,506,7,Tremont-Belmont-West Farms (CD 6),1.2,26.5,64.3,93.8,"86,349",6.2
2017-21,CDTA2020,507,7,Fordham-Bedford Park-Norwood (CD 7),5.6,13.4,73.3,94.3,"145,371",5.7
2017-21,CDTA2020,508,7,Riverdale-Kingsbridge-Marble Hill (CD 8),3.7,11.4,50.3,68.6,"109,962",31.4
2017-21,CDTA2020,509,7,Soundview-Parkchester (CD 9),8.3,27.6,58.2,97.5,"175,231",2.5
2017-21,CDTA2020,510,7,Co-op City-Throgs Neck (CD 10),6.6,22.7,43.1,75.5,"130,956",24.5
2017-21,CDTA2020,511,7,Pelham Parkway-Morris Park (CD 11),7.7,22.0,46.1,79.0,"120,594",21.0
2017-21,CDTA2020,512,7,Wakefield-Williamsbridge-Eastchester (CD 12),1.9,59.5,28.2,94.1,"169,246",5.9
2017-21,CDTA2020,4701,7,Williamsburg-Greenpoint (CD 1),5.7,5.1,24.1,38.9,"201,377",61.1
2017-21,CDTA2020,4702,7,Downtown Brooklyn-Fort Greene (CD 2),11.4,20.1,13.5,51.3,"125,740",48.7
2017-21,CDTA2020,4703,7,Bedford-Stuyvesant (CD 3),3.4,48.0,18.0,73.4,"181,522",26.6
2017-21,CDTA2020,4704,7,Bushwick (CD 4),5.6,16.0,51.7,77.0,"118,143",23.0
2017-21,CDTA2020,4705,7,East New York-Cypress Hills (CD 5),4.5,52.6,35.8,96.3,"204,399",3.7
2017-21,CDTA2020,4706,7,Park Slope-Carroll Gardens (CD 6),7.1,10.0,15.3,38.7,"123,369",61.3
2017-21,CDTA2020,4707,7,Sunset Park-Windsor Terrace (CD 7),26.7,3.1,39.2,71.9,"126,085",28.1
2017-21,CDTA2020,4708,7,Crown Heights (North) (CD 8),4.1,48.8,12.6,71.1,"111,533",28.9
2017-21,CDTA2020,4709,7,Crown Heights (South) (CD 9),2.0,57.2,9.5,72.0,"100,357",28.0
2017-21,CDTA2020,4710,7,Bay Ridge-Dyker Heights (CD 10),24.8,2.6,17.6,47.4,"129,344",52.6
2017-21,CDTA2020,4711,7,Bensonhurst-Bath Beach (CD 11),39.5,1.2,16.0,60.4,"196,816",39.6
2017-21,CDTA2020,4712,7,Borough Park-Kensington (CD 12),18.1,2.6,12.5,36.3,"193,089",63.7
2017-21,CDTA2020,4713,7,Coney Island-Brighton Beach (CD 13),11.7,11.1,16.3,43.3,"112,519",56.7
2017-21,CDTA2020,4714,7,Flatbush-Midwood (CD 14),10.8,31.2,14.5,60.6,"165,478",39.4
2017-21,CDTA2020,4715,7,Sheepshead Bay-Gravesend (East) (CD 15),18.9,4.2,9.6,36.4,"164,570",63.6
2017-21,CDTA2020,4716,7,Ocean Hill-Brownsville (CD 16),1.3,67.6,22.7,95.3,"89,142",4.7
2017-21,CDTA2020,4717,7,East Flatbush (CD 17),1.6,82.2,6.9,96.1,"158,964",3.9
2017-21,CDTA2020,4718,7,Canarsie-Flatlands (CD 18),5.4,60.6,8.5,78.8,"208,559",21.2
2017-21,CDTA2020,6101,7,Financial District-Tribeca (CD 1),18.2,3.8,8.5,35.5,"72,255",64.5
2017-21,CDTA2020,6102,7,Greenwich Village-SoHo (CD 2),14.3,2.4,8.1,28.2,"87,858",71.8
2017-21,CDTA2020,6103,7,Lower East Side-Chinatown (CD 3),29.4,8.1,23.8,65.1,"157,101",34.9
2017-21,CDTA2020,6104,7,Chelsea-Hell's Kitchen (CD 4),14.8,5.0,18.9,43.0,"117,930",57.0
2017-21,CDTA2020,6105,7,Midtown-Flatiron-Union Square (CD 5),19.1,5.8,11.7,41.6,"49,302",58.4
2017-21,CDTA2020,6106,7,East Midtown-Murray Hill (CD 6),15.1,4.3,8.8,31.9,"149,052",68.1
2017-21,CDTA2020,6107,7,Upper West Side (CD 7),9.9,5.7,15.2,34.9,"221,646",65.1
2017-21,CDTA2020,6108,7,Upper East Side-Roosevelt Island (CD 8),10.5,2.8,9.0,25.4,"217,279",74.6
